model,runs,param_count,test_acc_mean,test_acc_std,test_macro_f1_mean,test_macro_f1_std,val_macro_f1_mean,val_macro_f1_std
fixed_cnn_1d,1,36323,0.9219512195121952,0.0,0.9163524384112619,0.0,0.9385154061624651,0.0
lstm_h32,1,13411,0.8341463414634146,0.0,0.8221649208491314,0.0,0.8483631757085641,0.0
lstm_h64,1,51395,0.7560975609756098,0.0,0.7301587301587301,0.0,0.8398071625344353,0.0
